"","Pasture","Transect","TotalAAGG","IntroducedPPGG","NativePPGG","TotalPPGG"
"1","3","2",0.0594262295081967,0.0379098360655738,0.0778688524590164,0.11577868852459
"2","3","4",0.506996770721206,0,0.0398277717976319,0.0398277717976319
"3","5M","19",0.570815450643777,0.036480686695279,0.106223175965665,0.142703862660944
"4","5M","55",0.480040941658137,0.00204708290685773,0.122824974411464,0.124872057318321
"5","5N","16A",0.366255144032922,0.190329218106996,0.164609053497942,0.354938271604938
"6","5N","56",0.359263050153531,0.0931422722620266,0.337768679631525,0.430910951893552
"7","5S","5",0.532224532224532,0.0114345114345114,0.0665280665280665,0.077962577962578
"8","BPS","T1",0.15,0.340625,0.201041666666667,0.541666666666667
"9","BPS","T2",0.204408817635271,0.462925851703407,0.149298597194389,0.612224448897796
"10","HP","T1",0.00206825232678387,0.370217166494312,0.0951396070320579,0.46535677352637
"11","HP","T2",0.037037037037037,0.365365365365365,0.038038038038038,0.403403403403403
"12","HQ","T1",0.0429864253393665,0.415158371040724,0.10972850678733,0.524886877828054
"13","HQ","T2",0.0958019375672766,0.545748116254037,0.0904198062432723,0.636167922497309
